Hospital Name,Address,CITY,STATE,PIN CODE,PPN / NON PPN
Saroj Super Speciality Hospital,"Sector 14, Near Madhuban Chowk",NEW DELHI,DELHI,110085,PPN
Dharamshila Hospital and Research Centre,"Vasundhara Enclave, Near New Ashok Nagar Metro StationDELHI",NEW DELHI,DELHI,110096,PPN
Kokilaben Dhirubhai Ambani Hospital,"Rao Saheb Achutrao Patwardhan Marg, Four Bungalows, Andheri West",MUMBAI,MAHARASHTRA,400053,PPN
Sarla Hospital And ICU,"5-D, Dattatray Road, Behind Surya HospitalSantacruz West,",MUMBAI,MAHARASHTRA,400054,PPN
Indus Valley Hospitals,"232, laxmi Garden, Main Tehsil Road,Near Tuda Mandi",NEW DELHI,DELHI,110059,PPN
MANIPAL HOSPITAL(HCMCT),"Palam Vihar, Sector-6, Adjoining MTNL Building, Dwarka",NEW DELHI,DELHI,110075,PPN
M S Ramaiah Narayana Heart Centre,"MSRIT Post, New BEL Road, New BEL Rd, M S Ramaiah Nagar, Mathikere",BANGALORE,KARNATAKA,560054,PPN
Shri Moolchand Kharaiti Ram Hospital,"Lajpat Nagar 3, New DelhiLajpat nagar",NEW DELHI,DELHI,110024,PPN
Centre For Sight Dwarka,"Plot No. 9,Sector-9, DwarkaDwarka",NEW DELHI,DELHI,110077,PPN
Purang Eye Centre,"A 114, Block A, Vishal Enclave, Rajouri Garden",NEW DELHI,DELHI,110027,PPN
Sharda hospital,"Plot no 3 knownledge park, Delhi",NEW DELHI,DELHI,110046,PPN
Tirath Ram Shah Hospital,"2a Rbl, Isher Das Sawhney Marg, Rajpur Road",NEW DELHI,DELHI,110054,PPN
Dr Punjs Artemis Hospital,"890-8, Circular Road",AMRITSAR,PUNJAB,143001,PPN
Prof D Ramakotaiah Children Hospital,"D. No.12-25-24, Beside Sivalayam Temple, KothapetGuntur",GUNTUR,ANDHRA PRADESH,522001,NON PPN
Sri Balaji Action Medical Institute,"F C - 34, A - 4,,Paschim Vihar,New DelhiNew Delhi",NEW DELHI,DELHI,110063,PPN
Eye Sciences - Spectra Eye,"E-82A, Greater Kailash - 1South Delhi",NEW DELHI,DELHI,110048,PPN
Indraprastha Apollo Hospital,"Sarita Vihar Delhi, Mathura Road",NEW DELHI,DELHI,110076,PPN
Jaipur Golden Hospital,"2, INSTITUTIONAL AREA,SEC-3,ROHINI,NEW DELHI-110085Rohini",NEW DELHI,DELHI,110086,PPN
Kukreja Hospital And Heart Centre,"C-1, Vishal Enclave,Rajouri Garden, Metro Pillar No 419-420, Rajouri Garden",NEW DELHI,DELHI,110027,PPN
East Delhi Medical Centre,"1/550, GT ROAD,Mansarovar Park, Shahdara",NEW DELHI,DELHI,110032,PPN
Medanta The Medicity,"Sector 38, Gurgaon",GURGAON,HARYANA,122001,PPN
Neo Hospital(Muskan Medical Centre Pvt.Ltd),"D-170A, SECTOR - 50, NEAR NOIDA CITY CENTRE, NOIDA, UTTARPRADESH -
201302NOIDA CITY CENTR",NOIDA,UTTAR PRADESH,201302,PPN
Fortis Hospital Mohali,"PHASE 8, SECTOR 62",MOHALI,PUNJAB,160062,PPN
Sharp Sight Centre East,"A-15, Swasthya Vihar,Opp.Metro Piller No. 83,Vikas Marg,,DelhiVIKAS MARG",NEW DELHI,DELHI,110092,PPN
Max super speciality Hospital (Patparganj),"108 A Indraprastha Extension, Patparganj,DelhiPatparganj",NEW DELHI,DELHI,110092,PPN
Handa Nursing Home,"57, Raja Garden, Near Raja Garden Crossing",NEW DELHI,DELHI,110015,PPN
Makkar Medical Centr,"A 1-2, Priyadarshini Vihar, Mohan Park, Laxmi Nagar",NEW DELHI,DELHI,110092,PPN
Max Super Specialty East Block Saket (Devki Devi),"2, Press Enclave,SaketSaket",NEW DELHI,DELHI,110017,PPN
Yashoda Hospital Nehru Nagar,"3 Rd M, Nehru Nagar,,,Nehru NagarNEHRU NAGAR",GHAZIABAD,UTTAR PRADESH,201001,PPN
Apollo Hospital Noida,"E-2 SECTOR - 26,NOIDA",NOIDA,UTTAR PRADESH,201301,PPN
Centre For Sight Preet Vihar,"F-14, Opp Metro Station Gate No 2, Vikas Marg,Preet Vihar",NEW DELHI,DELHI,110092,PPN
Rg Stone Urology And Laproscopy Hospital,"B-1, VISHAL ENCLAVERajouri Garden",NEW DELHI,DELHI,110027,PPN
Goyal Hospital & Urology Centre,"E-4/8, Lajpat Rai Chowk, Krishna Nagar",NEW DELHI,DELHI,110051,PPN
Max Hospital Gurgaon,"Block-B, Sushant Lok, phase I",GURGAON,HARYANA,122001,PPN
Kailash Hospital And Research Centre Ltd,"H-33, Sector-27,Noida",NOIDA,UTTAR PRADESH,201301,PPN
Goyal Eye Institute,"1-10, Opp Metro Pillar No 176, East Patel Nagar",NEW DELHI,DELHI,110008,PPN
Fortis Flt Lt Rajan Dhall Hospital,"Sector B, Pocket 1Aruna Asaf Ali Marg, Vasant Kunj",NEW DELHI,DELHI,110070,PPN
Panchsheel Hospital Pvt Ltd,"C 3 / 64 A, Yamuna Vihar, Opposite Gokul Puri Police Station,,DelhiOPP GOKUL
PURI POLICE STATION)",DELHI,DELHI,110053,PPN
RG Stone Urology And Laproscopy Hospital,"F-12, East of Kailash",NEW DELHI,DELHI,110085,PPN
"DEEPAK MEMORIAL HOSPITAL AND MEDICAL RESEARCH
CENTRE","5 & 6, INSTITUTIONAL AREA,VIKAS MARG",NEW DELHI,DELHI,110092,NON PPN
